 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    3 ;    5 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;    6 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;    6 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;    6 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;    7 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;    7 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;    7 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   12 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   12 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   12 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   12 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   12 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   12 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   13 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   13 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   13 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   13 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   13 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   13 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   13 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   13 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   13 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   14 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   14 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   14 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   14 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   14 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   14 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
