 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    3 ;   14 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   14 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   14 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   15 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   15 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   15 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   15 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   15 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   15 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   15 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   15 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   15 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   16 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   16 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   16 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   16 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   16 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   16 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   16 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   16 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   16 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
