DMAQ
( Nb)   Gr (P) (Q) Und ( Mg ) ( Mt )u( Mv )u( Me )u(Xvd)(Nbc)
  751   10 100 100   2    601    601u   641u              751 C.DO13UH-2GR
  752   10 100 100   1    602    602u   642u   672u       752 C.DOU1UH-1GR
  753   10 100 100   2    603    603u   643u   673u       753 C.D13NUH-2GR
  754   10 100 100   2    604    604u   644u   674u       754 C.D13KUH-2GR
  800   10 100 100   3    700    700u   740u   770u       800 GBMUNHUH-3GR
  804   10 100 100   4    702    702u   742u              804 GPSOUZUH-4GR
  808   10 100 100   4    706    706u   746u   776u       808 GJRICHUH-4GR
  810   10 100 100   3    704    704u   744u   774u       810 GNBRAGUH-3GR
  806   10 100 100   2    710    710u   750u   780u       806 SCLARAUH-2GR
 2475   10 100 100   2    711    711u   751u   781u      2475 FUNDAOUH-2GR
  904   10 100 100   5    812    812u   852u   882u       904 ITA---UH-5GR
  911   10 100 100   2    802    802u   842u   872u       911 JLA56BUT-2GR
  913   10 100 100   1    803    803u   843u   873u       913 JLA7C-UT-1GR
  915   10 100 100   3    815    815u   855u   885u       915 MACHADUH-3GR
  917   10 100 100   2    804    804u   844u   874u       917 PFUNDOUH-2GR
  919   10 100 100   4    806    806u   846u   876u       919 SOSO14UH-4GR
  921   10 100 100   2    808    808u   848u   878u       921 SOSO56UH-2GR
  925   20 100 100   3   1810   1810u  1850u  1880u       925 SSANTIUH-3GR
  931   10 100 100   2    823    823u   862u   887u       931 ALZANTUH-2GR
 2863   10 100 100   2    824    824u   863u   888u      2863 SPILAOUH-2GR
 1040   10 100 100   1     97                            1040 RINCON-R-1GR
 3964   10 100 100   2    814    814u   854u   884u      3964 CBRAV-UH-2GR
 3968   10 100 100   2    822    822u   861u   886u      3968 SSALV-UH-2GR
 1100   10 100 100   9    900    900u   940u             1100 IPU-50UH-9GR
 1107   10 100 100   9    901    901u   941u   971u      1107 IPU-60UH-9GR
 1155   10 100 100   4   1000   1000u  1040u  1070u      1155 ITAUBAUH-4GR
 1162   10 100 100   6   1002   1002u  1042u  1072u      1162 JACUI-UH-6GR
 1175   10 100 100   2   1008   1008u  1048u  1078u      1175 PREAL-UH-2GR
 1176   10 100 100   2   1009   1009u  1049u  1079u      1176 DFRANCUH-2GR
 9220   10 100 100   2   1013   1013u  1043u  1073u      9220 SJOSE-UH-2GR
 9218   10 100 100   2   1014   1014u  1044u  1074u      9218 PSJOAOUH-2GR
  983   10 100 100   3   1015   1015u  1045u  1075u       983 MAUA--UH-3GR
  984   10 100 100   2   1016   1016u  1046u  1076u       984 MAUA--PC-2GR
 9735   10 100 100   3   1017   1017u  1047u  1077u      9735 GARIBAUH-3GR
 9824   10 100 100   2   1018   1018u                    9824 MARME2SI-2CS
 9986   10  50  50   1   7310   7310u  7340u  7370u      9986 KLACELUT-1GR
 9986   20  50  50   1   7311   7311u  7341u  7371u      9986 KLACELUT-1GR
 2600   10  45  50   1   1100   1100u  1140u  1170u      2600 MASCA-UH-1GR
 2600   20  55  50   1   1101   1101u  1141u  1171u      2600 MASCA-UH-1GR
 2601   10 100 100   1   1102   1102u  1142u  1172u      2601 SUICA-UH-1GR
 5022   10 100 100   4   1211   1211u  1251u  1271u      5022 PAFO-4UH-4GR
 5051   10 100 100   2   1217   1217u  1257u  1272u      5051 LGONG1UH-2GR
 5054   10 100 100   1   1219   1219u  1259u  1273u      5054 LGONG4UH-1GR
 5061   10 100 100   3   1221   1221u  1261u  1274u      5061 XINGO-UH-3GR
 5145   10 100 100   1   1231   1231u                    5145 RCDSIESI-1CS
 5147   10 100 100   1   1232   1232u                    5147 RCDALSSI-1CS
 5509   10 100 100   1   1233   1233u                    5509 TERESISI-1CS
 5520   10 100 100   2   1226   1226u  1266u             5520 UBE1--UH-2GR
 5522   10 100 100   1   1228   1228u  1268u  1277u      5522 UBE2--UH-1GR
 5778   10 100 100   2   1234   1234u                    5778 CMDBP1SI-2CS
 6294   10 100 100   3   1223   1223u  1263u  1275u      6294 SOBRADUH-3GR
 6295   10 100 100   1   1224   1224u         1276u      6295 SOBRADSI-1CS
 6350   10 100 100   1   1237   1237u                    6350 BJLAPASI-1CS
44074   10 100 100   1   1309   1309u                   44074 PDUTR2SI-1CS
44077   10 100 100   1   1319   1319u                   44077 IMPER3SI-1CS
 6405   10 100 100   1   1307   1307u                    6405 MARABASI-1CS
 6419   10 100 100   4   1300   1300u  1340u  1370u      6419 TUCUR1UH-4GR
 6420   10 100 100   2   1301   1301u  1341u  1371u      6420 TUCUR2UH-2GR
 6422   10 100 100   2   1303   1303u  1342u  1372u      6422 TUCUR3UH-2GR
 6424   10 100 100   3   1305   1305u  1343u  1373u      6424 TUCUR5UH-3GR
 6425   10 100 100   4   1311   1311u  1344u  1374u      6425 TUCUR6UH-4GR
 6411   10 100 100   1   1312   1312u  1345u             6411 GA1TUCUH-1GR
 6412   10 100 100   1   1313   1313u  1346u             6412 GA2TUCUH-1GR
 6465   10 100 100   2   1306   1306u                    6465 VCONDESI-2CS
99751   10 100 100   1   1321   1321u  1351u            99751 CRU-G1UH-1GR
99752   10 100 100   1   1322   1322u  1352u            99752 CRU-G2UH-1GR
99753   10 100 100   1   1323   1323u  1353u            99753 CRU-G3UH-1GR
 4846   10 100 100   3   1403   1403u  1443u  1473u      4846 JUBA--UH-3GR
 4831   10 100 100   3   1406   1406u  1446u  1476u      4831 JUBA2-UH-3GR
 4809   10 100 100   2   1404   1404u  1444u  1474u      4809 JAURU-UH-2GR
 4804   10 100 100   2   1405   1405u  1445u  1475u      4804 GUAPO-UH-2GR
 7206   10 100 100   4   1500   1500u  1540u  1570u      7206 LAJEADUH-4GR
 4203   10 100 100   1   1900   1900u  1940u  1970u      4203 TRG11-UT-1GR
 4204   10 100 100   1   1902   1902u  1942u  1972u      4204 TRV18-UT-1GR
 3962   10 100 100   2   2000   2000u  2040u  2070u      3962 NFLU-GUT-2GR
 3963   10 100 100   1   2001   2001u  2041u  2071u      3963 NFLU-VUT-1GR
 4523   10 100 100   2   2200   2200u  2240u  2270u      4523 ITIQ-1UH-2GR
 4525   10 100 100   2   2201   2201u  2241u  2271u      4525 ITIQ-2UH-2GR
 9500   10 100 100   3   2400   2400u  2440u  2470u      9500 SIMPL-UH-3GR
  614   10 100 100   2   2500   2500u  2540u  2570u       614 PIRAJUUH-2GR
 9100   10 100 100   1   2607   2607u  2647u             9100 ROCH-GUT-1GR
 9101   10 100 100   1   2608   2608u  2648u             9101 ROCH-VUT-1GR
 2836   10 100 100   3   3000   3000u  3040u  3070u      2836 QQUEIXUH-3GR
 5151   10 100 100   2   3100   3100u  3140u  3170u      5151 TERPEGUT-2GR
 5154   10 100 100   1   3101   3101u  3141u  3171u      5154 TERPEVUT-1GR
 1150   10 100 100   3   3200   3200u  3240u  3270u      1150 BGRANDUH-3GR
 5888   10 100 100   1   3300   3300u  3340u  3370u      5888 P.CAVAUH-1GR
 2031   10 100 100   3   3301   3301u                    2031 OURIN-UH-3GR
 4016   10 100 100   2   3302   3302u  3342u  3372u      4016 PICADAUH-2GR
 4520   10 100 100   2   3400   3400u  3440u  3470u      4520 P.PEDRUH-2GR
 1159   10 100 100   2   3500   3500u  3540u  3570u      1159 MCLAROUH-2GR
 1166   10 100 100   3   3501   3501u  3541u  3571u      1166 CALVESUH-3GR
 1168   10 100 100   2   3502   3502u  3542u  3572u      1168 14JUL-UH-2GR
 1511   10 100 100   1   3700   3700u  3740u  3770u      1511 S.CLARUH-1GR
 7110   10 100 100   2   3900   3900u  3940u  3970u      7110 PEIXEAUH-2GR
 4052   10 100 100   3   4000   4000u  4040u  4070u      4052 AMADO1UH-3GR
 4054   10 100 100   3   4001   4001u  4041u  4071u      4054 AMADO2UH-3GR
 1157   10 100 100   3   4100   4100u  4140u  4170u      1157 CNOVOSUH-3GR
 3641   10 100 100   2   4300   4300u  4340u  4370u      3641 CORUM4UH-2GR
 3744   10 100 100   3   4400   4400u  4440u  4470u      3744 ESPORAUH-3GR
 8904   10  50  50   1   4500   4500u  4540u             8904 CST1-2UT-1GR
 8904   20  50  50   1   4501   4501u  4541u             8904 CST1-2UT-1GR
 8905   10  50  50   1   4502   4502u  4542u             8905 CST3-4UT-1GR
 8905   20  50  50   1   4503   4503u  4543u             8905 CST3-4UT-1GR
 8906   10 100 100   2   4504   4504u                    8906 SOL.--UT-2GR
 8907   10 100 100   1   4505   4505u                    8907 CSTTRTUT-1GR
 6891   10 100 100   4   4705   4705u  4745u  4775u      6891 SAMU1-UH-4GR
 6831   10 100 100   2   4706   4706u  4746u  4776u      6831 ROND2-UH-2GR
 5609   10 100 100   1   4812   4812u  4852u  4872u      5609 PITAQUUT-1GR
 5647   10 100 100   2   4815   4815u  4855u  4875u      5647 MARIV-UT-2GR
 5648   10 100 100   2   4816   4816u  4856u  4876u      5648 MARV--UT-2GR
 5650   10 100 100   1   4817   4817u  4857u  4877u      5650 NVNC2-UT-1GR
 5646   10 100 100   2   1315   1315u  8345u  8375u      5646 MAR3-GUT-2GR
 5815   10 100 100   1   1316   1316u  8346u  8376u      5815 MAR3-VUT-1GR
 5642   10 100 100   3   1317   1317u  8347u             5642 PARNIVUT-3GR
 4068   10 100 100   1   4900   4900u  4940u  4970u      4068 R.BAIXUH-1GR
 9600   10 100 100   1   5000   5000u         5070u      9600 CSA-G-UT-1GR
 9615   10 100 100   1   5002   5002u         5072u      9615 CSA-G2UT-1GR
 9603   10 100 100   1   5001   5001u         5071u      9603 CSA-V-UT-1GR
 9026   10 100 100  24   5102   5102u         5172u      9026 LINH--UT24GR
 1873   10 100 100   2   5200   5200u  5240u             1873 CAARAPBI-2GR
 1888   10  44  44   1   5202   5202u  5242u             1888 LDCBRIBI-1GR
 1888   20  56  56   1   5203   5203u  5243u             1888 LDCBRIBI-1GR
 9682   10 100 100   3   5204   5204u  5244u             9682 AMANDIBI-3GR
 9561   10   9  13   1   5205   5205u  5245u             9561 ELDORABI-1GR
 9561   20   9  13   1   5206   5206u  5246u             9561 ELDORABI-1GR
 9561   30  82  74   2   5207   5207u  5247u             9561 ELDORABI-2GR
 1874   10  32  42   1   5208   5208u  5248u             1874 VALEGRBI-1GR
 1874   20  34  29   1   5209   5209u  5249u             1874 VALEGRBI-1GR
 1874   30  34  29   1   5210   5210u  5250u             1874 VALEGRBI-1GR
 4890   10 100 100   3   5300   5300u  5340u  5370u      4890 DARDA1UH-3GR
 4891   10 100 100   1   5301   5301u  5341u  5371u      4891 DARDA2UH-1GR
